Number:0, mass:1, radius:0.01
time,x,y,z,x_,y_,z_
30.1, 0.816963, 0.719192, 0.838126, -6.15235e+08, 9.88282e+08, 2.74912e+07
30.2, 0.882251, 0.207799, 0.879566, -6.15235e+08, 9.88282e+08, 2.74912e+07
30.3, 0.316092, 0.248803, 0.241445, -6.15235e+08, 9.88282e+08, 2.74917e+07
30.4, 0.556617, 0.111964, 0.127048, -6.15234e+08, 9.88271e+08, 2.75134e+07
30.5, 0.569066, 0.544663, 0.886854, -6.15234e+08, 9.88271e+08, 2.75134e+07
30.6, 0.392058, 0.80336, 0.880131, -6.15234e+08, 9.88271e+08, 2.75134e+07
30.7, 0.472561, 0.658195, 0.410196, -6.15235e+08, 9.88273e+08, 2.7504e+07
30.8, 0.625488, 0.678547, 0.0798012, -6.15235e+08, 9.88273e+08, 2.75039e+07
30.9, 0.230019, 0.941038, 0.592552, -6.14998e+08, 9.88383e+08, 2.72947e+07
31, 0.967696, 0.163491, 0.66626, -6.14998e+08, 9.88383e+08, 2.72945e+07
31.1, 0.386664, 0.148182, 0.359658, -6.14998e+08, 9.88383e+08, 2.72945e+07
31.2, 0.517439, 0.255094, 0.530306, -6.15487e+08, 9.89712e+08, 2.74817e+07
