Number:0, mass:1, radius:0.001
time,x,y,z
4.58, 1.76702e+07, -343126, 2.28906e+06
4.59, 1.75051e+07, -414695, 2.5152e+06
4.6, 1.733e+07, -476265, 2.73133e+06
4.61, 1.71448e+07, -527834, 2.93746e+06
4.62, 1.69497e+07, -569403, 3.1336e+06
4.63, 1.67446e+07, -600972, 3.31973e+06
4.64, 1.65295e+07, -622541, 3.49586e+06
4.65, 1.63043e+07, -634111, 3.662e+06
4.66, 1.60692e+07, -635680, 3.81813e+06
4.67, 1.58241e+07, -627249, 3.96426e+06
4.68, 1.55689e+07, -608818, 4.1004e+06
4.69, 1.53038e+07, -580387, 4.22653e+06
4.7, 1.50287e+07, -541957, 4.34266e+06
4.71, 1.47436e+07, -493526, 4.4488e+06
4.72, 1.44484e+07, -435095, 4.54493e+06
4.73, 1.41433e+07, -366664, 4.63106e+06
4.74, 1.38282e+07, -288233, 4.7072e+06
4.75, 1.35031e+07, -199803, 4.77333e+06
4.76, 1.31679e+07, -101372, 4.82946e+06
4.77, 1.28228e+07, 7003.05, 4.8756e+06
4.78, 1.24677e+07, 113934, 4.91173e+06
4.79, 1.21026e+07, 210865, 4.93786e+06
4.8, 1.17274e+07, 297795, 4.954e+06
4.81, 1.13423e+07, 374726, 4.96013e+06
4.82, 1.09472e+07, 441657, 4.95626e+06
4.83, 1.0542e+07, 498588, 4.9424e+06
4.84, 1.01269e+07, 545519, 4.91853e+06
4.85, 9.70179e+06, 582449, 4.88466e+06
4.86, 9.26667e+06, 609380, 4.8408e+06
4.87, 8.82154e+06, 626311, 4.78693e+06
4.88, 8.36641e+06, 633242, 4.72306e+06
4.89, 7.90129e+06, 630173, 4.6492e+06
4.9, 7.42616e+06, 617103, 4.56533e+06
4.91, 6.94103e+06, 594034, 4.47146e+06
4.92, 6.44591e+06, 560965, 4.3676e+06
4.93, 5.94078e+06, 517896, 4.25373e+06
4.94, 5.42565e+06, 464827, 4.12986e+06
4.95, 4.90053e+06, 401757, 3.996e+06
4.96, 4.3654e+06, 328688, 3.85213e+06
4.97, 3.82027e+06, 245619, 3.69826e+06
4.98, 3.26514e+06, 152550, 3.5344e+06
