lnV;t
2.33149319814125;549.063
2.33058928940364;550.063
2.32968456287576;551.063
2.32872056659867;552.063
2.32791165094005;553.062
2.32691666480728;554.062
2.32606721714125;555.063
2.32508994833412;556.062
2.32416065751173;557.062
2.3232109107877;558.062
2.322348503835;559.062
2.32137740617318;560.062
2.32049377103734;561.062
2.31951103758364;562.063
2.31857654541209;563.062
2.31781847363464;564.062
2.31685282312505;565.063
2.31584676697723;566.062
2.31498785971109;567.062
2.31415786934666;568.063
2.31304024689766;569.063
2.31227796496495;570.063
2.31129703359607;571.062
2.31042428607213;572.063
2.309471328357;573.063
2.30858704518968;574.062
2.30776167136286;575.062
2.30679621376551;576.063
2.30592949424444;577.063
2.30502212102746;578.063
2.30421376598587;579.063
2.30324487528983;580.062
2.30237507094096;581.064
2.30134432355791;582.064
2.30045282131769;583.064
2.29953043226482;584.064
2.29854695066095;585.064
2.29763285085998;586.064
