t (s),V (mV),,,lnV,t,,(lnV)^2,t^2,t*lnV
262.061,12.4716,,,2.52345405940024,262.061,,6.36782038990355,68675.967721,661.298894260486
263.061,12.4639,,,2.52283646598966,263.061,,6.3647038341272,69201.089721,663.659883579706
264.062,12.4536,,,2.5220097377395,264.062,,6.36053311725287,69728.739844,665.966935366969
265.061,12.4455,,,2.52135911179031,265.061,,6.35725177060803,70257.333721,668.313967530252
266.062,12.4354,,,2.52054724400782,266.062,,6.35315840927539,70788.987844,670.621840835207
267.062,12.4267,,,2.51984738354912,267.062,,6.34963083637933,71322.111844,672.955481945394
268.061,12.4176,,,2.51911482111774,268.061,,6.34593948197505,71856.699721,675.276438063642
269.062,12.4092,,,2.51843813299679,269.062,,6.34253062973237,72394.359844,677.616000940383
270.062,12.4004,,,2.51772873015523,270.062,,6.33895795864905,72933.483844,679.942856323181
271.062,12.3907,,,2.51694619122029,271.062,,6.33501812949831,73474.607844,682.248468484553
272.061,12.3825,,,2.51628418548026,272.061,,6.33168610209803,74017.187721,684.582791785944
273.061,12.3737,,,2.51557325243151,273.061,,6.32810878834886,74562.309721,686.904947882201
274.062,12.3645,,,2.51482946343925,274.062,,6.32436723018217,75109.979844,689.219192409089
275.062,12.3564,,,2.51417414746857,275.062,,6.3210716437993,75659.103844,691.553769351
276.061,12.3484,,,2.51352650002519,276.061,,6.31781546632886,76209.675721,693.886639123453
277.062,12.339,,,2.5127649779164,277.062,,6.31398783424319,76763.351844,696.191690311473
278.061,12.3302,,,2.51205153764486,278.061,,6.31040292778392,77317.919721,698.503562609068
279.061,12.3216,,,2.51135381980285,279.061,,6.30689800823836,77875.041721,700.820908308003
280.062,12.3127,,,2.5106312500211,280.062,,6.30326927358253,78434.723844,703.13240914341
281.062,12.3036,,,2.50989190248191,281.062,,6.29955736214426,78995.847844,705.43523789537
282.062,12.2953,,,2.50921707553314,282.062,,6.29617033214711,79558.971844,707.75478675903
283.061,12.2866,,,2.50850923762287,283.061,,6.29261859523929,80123.529721,710.061133310768
284.061,12.2778,,,2.5077927535747,284.061,,6.28902449488178,80690.651721,712.366117373183
285.062,12.2699,,,2.50714910873036,285.062,,6.28579665340743,81260.343844,714.692939232894
286.061,12.2593,,,2.50628483263005,286.061,,6.28146366227145,81830.895721,716.950345506985
